hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,37.234042553191486,16.608194935414303
15.0,37.234042553191486,16.608194935414303
0.001,37.234042553191486,16.608194935414303
64.0,37.234042553191486,16.608194935414303
32.0,37.234042553191486,14.146950669534448
15.0,37.234042553191486,14.146950669534448
0.001,37.234042553191486,14.146950669534448
128.0,37.234042553191486,14.146950669534448
64.0,35.1063829787234,15.107553265448002
15.0,35.1063829787234,15.107553265448002
0.001,35.1063829787234,15.107553265448002
64.0,35.1063829787234,15.107553265448002
64.0,37.234042553191486,6.211136235161108
15.0,37.234042553191486,6.211136235161108
0.001,37.234042553191486,6.211136235161108
128.0,37.234042553191486,6.211136235161108
32.0,37.234042553191486,18.89304691154291
15.0,37.234042553191486,18.89304691154291
0.002,37.234042553191486,18.89304691154291
64.0,37.234042553191486,18.89304691154291
32.0,35.1063829787234,15.936286935498005
15.0,35.1063829787234,15.936286935498005
0.002,35.1063829787234,15.936286935498005
128.0,35.1063829787234,15.936286935498005
64.0,37.234042553191486,14.728942652329748
15.0,37.234042553191486,14.728942652329748
0.002,37.234042553191486,14.728942652329748
64.0,37.234042553191486,14.728942652329748
64.0,27.659574468085108,21.78776306523016
15.0,27.659574468085108,21.78776306523016
0.002,27.659574468085108,21.78776306523016
128.0,27.659574468085108,21.78776306523016
32.0,34.04255319148936,18.81725255793156
15.0,34.04255319148936,18.81725255793156
0.0015,34.04255319148936,18.81725255793156
96.0,34.04255319148936,18.81725255793156
