hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,18.34319526627219,9.575846695136036
15.0,18.34319526627219,9.575846695136036
0.001,18.34319526627219,9.575846695136036
64.0,18.34319526627219,9.575846695136036
32.0,8.875739644970414,3.404195974528456
15.0,8.875739644970414,3.404195974528456
0.001,8.875739644970414,3.404195974528456
128.0,8.875739644970414,3.404195974528456
64.0,12.42603550295858,7.6111768105795
15.0,12.42603550295858,7.6111768105795
0.001,12.42603550295858,7.6111768105795
64.0,12.42603550295858,7.6111768105795
64.0,15.976331360946746,6.066252587991719
15.0,15.976331360946746,6.066252587991719
0.001,15.976331360946746,6.066252587991719
128.0,15.976331360946746,6.066252587991719
32.0,11.834319526627219,6.415447579240683
15.0,11.834319526627219,6.415447579240683
0.002,11.834319526627219,6.415447579240683
64.0,11.834319526627219,6.415447579240683
