hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,8.875739644970414,6.196836130902065
15.0,8.875739644970414,6.196836130902065
0.002,8.875739644970414,6.196836130902065
128.0,8.875739644970414,6.196836130902065
64.0,10.059171597633137,6.355453225768069
15.0,10.059171597633137,6.355453225768069
0.002,10.059171597633137,6.355453225768069
64.0,10.059171597633137,6.355453225768069
64.0,4.142011834319527,3.357555143269429
15.0,4.142011834319527,3.357555143269429
0.002,4.142011834319527,3.357555143269429
128.0,4.142011834319527,3.357555143269429
32.0,10.059171597633137,11.154629432857755
15.0,10.059171597633137,11.154629432857755
0.0015,10.059171597633137,11.154629432857755
96.0,10.059171597633137,11.154629432857755
