hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,38.297872340425535,17.66518369428608
15.0,38.297872340425535,17.66518369428608
0.001,38.297872340425535,17.66518369428608
64.0,38.297872340425535,17.66518369428608
32.0,30.851063829787233,14.534515192409929
15.0,30.851063829787233,14.534515192409929
0.001,30.851063829787233,14.534515192409929
128.0,30.851063829787233,14.534515192409929
64.0,26.595744680851062,19.529950401734173
15.0,26.595744680851062,19.529950401734173
0.001,26.595744680851062,19.529950401734173
64.0,26.595744680851062,19.529950401734173
64.0,23.404255319148938,9.595352564102564
15.0,23.404255319148938,9.595352564102564
0.001,23.404255319148938,9.595352564102564
128.0,23.404255319148938,9.595352564102564
32.0,37.234042553191486,7.986555697823303
15.0,37.234042553191486,7.986555697823303
0.002,37.234042553191486,7.986555697823303
64.0,37.234042553191486,7.986555697823303
32.0,12.76595744680851,15.903890160183066
15.0,12.76595744680851,15.903890160183066
0.002,12.76595744680851,15.903890160183066
128.0,12.76595744680851,15.903890160183066
64.0,28.723404255319153,18.101687902352353
15.0,28.723404255319153,18.101687902352353
0.002,28.723404255319153,18.101687902352353
64.0,28.723404255319153,18.101687902352353
64.0,18.085106382978726,10.35697181171319
15.0,18.085106382978726,10.35697181171319
0.002,18.085106382978726,10.35697181171319
128.0,18.085106382978726,10.35697181171319
32.0,15.957446808510639,13.48964602254076
15.0,15.957446808510639,13.48964602254076
0.0015,15.957446808510639,13.48964602254076
96.0,15.957446808510639,13.48964602254076
