hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,13.609467455621301,7.0426535711873735
15.0,13.609467455621301,7.0426535711873735
0.001,13.609467455621301,7.0426535711873735
64.0,13.609467455621301,7.0426535711873735
32.0,16.56804733727811,9.129416400332735
15.0,16.56804733727811,9.129416400332735
0.001,16.56804733727811,9.129416400332735
128.0,16.56804733727811,9.129416400332735
64.0,10.059171597633137,6.539466818428463
15.0,10.059171597633137,6.539466818428463
0.001,10.059171597633137,6.539466818428463
64.0,10.059171597633137,6.539466818428463
64.0,10.059171597633137,2.7196721853210404
15.0,10.059171597633137,2.7196721853210404
0.001,10.059171597633137,2.7196721853210404
128.0,10.059171597633137,2.7196721853210404
32.0,10.059171597633137,5.038889821498517
15.0,10.059171597633137,5.038889821498517
0.002,10.059171597633137,5.038889821498517
64.0,10.059171597633137,5.038889821498517
