hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,9.467455621301776,5.074914701082926
15.0,9.467455621301776,5.074914701082926
0.002,9.467455621301776,5.074914701082926
128.0,9.467455621301776,5.074914701082926
64.0,26.035502958579883,5.035577449370554
15.0,26.035502958579883,5.035577449370554
0.002,26.035502958579883,5.035577449370554
64.0,26.035502958579883,5.035577449370554
64.0,26.035502958579883,5.212751767373617
15.0,26.035502958579883,5.212751767373617
0.002,26.035502958579883,5.212751767373617
128.0,26.035502958579883,5.212751767373617
32.0,12.42603550295858,2.078069322967282
15.0,12.42603550295858,2.078069322967282
0.0015,12.42603550295858,2.078069322967282
96.0,12.42603550295858,2.078069322967282
64.0,9.467455621301776,3.1078296703296706
15.0,9.467455621301776,3.1078296703296706
0.0002,9.467455621301776,3.1078296703296706
96.0,9.467455621301776,3.1078296703296706
