hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,37.234042553191486,13.839342188488299
15.0,37.234042553191486,13.839342188488299
0.001,37.234042553191486,13.839342188488299
64.0,37.234042553191486,13.839342188488299
32.0,31.914893617021278,25.78758960337908
15.0,31.914893617021278,25.78758960337908
0.001,31.914893617021278,25.78758960337908
128.0,31.914893617021278,25.78758960337908
64.0,37.234042553191486,22.9390349866353
15.0,37.234042553191486,22.9390349866353
0.001,37.234042553191486,22.9390349866353
64.0,37.234042553191486,22.9390349866353
64.0,30.851063829787233,20.138293611759085
15.0,30.851063829787233,20.138293611759085
0.001,30.851063829787233,20.138293611759085
128.0,30.851063829787233,20.138293611759085
32.0,36.17021276595745,18.130360457732653
15.0,36.17021276595745,18.130360457732653
0.002,36.17021276595745,18.130360457732653
64.0,36.17021276595745,18.130360457732653
32.0,38.297872340425535,12.926485279426455
15.0,38.297872340425535,12.926485279426455
0.002,38.297872340425535,12.926485279426455
128.0,38.297872340425535,12.926485279426455
64.0,31.914893617021278,17.356342839661444
15.0,31.914893617021278,17.356342839661444
0.002,31.914893617021278,17.356342839661444
64.0,31.914893617021278,17.356342839661444
64.0,37.234042553191486,20.216581825037707
15.0,37.234042553191486,20.216581825037707
0.002,37.234042553191486,20.216581825037707
128.0,37.234042553191486,20.216581825037707
32.0,30.851063829787233,17.232156379135027
15.0,30.851063829787233,17.232156379135027
0.0015,30.851063829787233,17.232156379135027
96.0,30.851063829787233,17.232156379135027
