hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,17.159763313609467,8.32408041069171
15.0,17.159763313609467,8.32408041069171
0.001,17.159763313609467,8.32408041069171
64.0,17.159763313609467,8.32408041069171
32.0,17.75147928994083,7.105175526228159
15.0,17.75147928994083,7.105175526228159
0.001,17.75147928994083,7.105175526228159
128.0,17.75147928994083,7.105175526228159
64.0,18.34319526627219,8.39315868191248
15.0,18.34319526627219,8.39315868191248
0.001,18.34319526627219,8.39315868191248
64.0,18.34319526627219,8.39315868191248
64.0,18.34319526627219,9.122003250042765
15.0,18.34319526627219,9.122003250042765
0.001,18.34319526627219,9.122003250042765
128.0,18.34319526627219,9.122003250042765
32.0,13.017751479289942,4.7038327526132395
15.0,13.017751479289942,4.7038327526132395
0.002,13.017751479289942,4.7038327526132395
64.0,13.017751479289942,4.7038327526132395
