hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,24.2603550295858,7.6328597737437525
15.0,24.2603550295858,7.6328597737437525
0.002,24.2603550295858,7.6328597737437525
128.0,24.2603550295858,7.6328597737437525
64.0,16.56804733727811,5.413910496077265
15.0,16.56804733727811,5.413910496077265
0.002,16.56804733727811,5.413910496077265
64.0,16.56804733727811,5.413910496077265
64.0,17.75147928994083,6.424961899414454
15.0,17.75147928994083,6.424961899414454
0.002,17.75147928994083,6.424961899414454
128.0,17.75147928994083,6.424961899414454
32.0,17.159763313609467,8.140771267803455
15.0,17.159763313609467,8.140771267803455
0.0015,17.159763313609467,8.140771267803455
96.0,17.159763313609467,8.140771267803455
32.0,20.118343195266274,8.33243350250153
15.0,20.118343195266274,8.33243350250153
0.0002,20.118343195266274,8.33243350250153
96.0,20.118343195266274,8.33243350250153
