hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,13.609467455621301,4.9312333629103815
15.0,13.609467455621301,4.9312333629103815
0.002,13.609467455621301,4.9312333629103815
128.0,13.609467455621301,4.9312333629103815
64.0,22.485207100591715,7.109270040304523
15.0,22.485207100591715,7.109270040304523
0.002,22.485207100591715,7.109270040304523
64.0,22.485207100591715,7.109270040304523
64.0,31.360946745562128,12.668972256284487
15.0,31.360946745562128,12.668972256284487
0.002,31.360946745562128,12.668972256284487
128.0,31.360946745562128,12.668972256284487
32.0,13.017751479289942,6.928898388623742
15.0,13.017751479289942,6.928898388623742
0.0015,13.017751479289942,6.928898388623742
96.0,13.017751479289942,6.928898388623742
32.0,27.810650887573964,16.29688273776944
15.0,27.810650887573964,16.29688273776944
0.0002,27.810650887573964,16.29688273776944
96.0,27.810650887573964,16.29688273776944
